name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
arwen,1836,218,2023-06-13,2024-08-20,0.7603485838779956,0.08496732026143791,0.05228758169934641,0.09259259259259259,874.769340974212,2364.923076923077,160171.20152505446,8.422018348623853,1122,2,4.69315068493151
faramir,3559,261,2022-06-13,2022-11-06,0.7839280696824951,0.0705254284911492,0.03708906996347289,0.10564765383534701,790.115770609319,2363.410358565737,507661.45209328464,13.636015325670497,1134,1,3.96986301369863
yvan,3720,894,2022-06-03,2022-11-06,0.8473118279569892,0.042741935483870966,0.09166666666666666,0.017741935483870968,691.515228426396,2851.4150943396226,143905.03467741935,4.1610738255033555,1019,1,1.64657534246575
eowyn,3181,505,2023-04-28,2024-08-26,0.776171015403961,0.049984281672430055,0.09839673058786545,0.07293303992455202,827.4791413527744,2592.5723270440253,397467.29707639106,6.299009900990099,1049,2,4.87945205479452
vladimir,2163,359,2022-06-26,2022-11-06,0.8025889967637541,0.06888580674988443,0.07766990291262135,0.04900601017105871,711.8617511520737,2382.3691275167785,356683.80490060104,6.025069637883008,960,1,2.11506849315069
djocko,2854,416,2022-06-22,2022-11-06,0.7631394533987386,0.06096706377014716,0.12018220042046251,0.05150665732305536,1048.4747474747476,2474.6206896551726,368483.6839523476,6.860576923076923,1107,1,3.03013698630137
anyanka,3448,729,2023-05-02,2024-07-16,0.6772041763341067,0.06003480278422274,0.1261600928074246,0.13428074245939675,701.0629550321199,2384.256038647343,167452.11542923434,4.729766803840878,914,2,2.84931506849315
baal,2648,805,2022-06-28,2024-08-28,0.7450906344410876,0.05022658610271903,0.1510574018126888,0.05211480362537765,854.9665484034465,2186.2330827067667,284930.96903323266,3.28944099378882,849,1,1.13698630136986
spliff,1651,151,2022-10-20,2022-11-06,0.8207147183525136,0.04542701393095094,0.04966686856450636,0.08116293155663235,710.929889298893,2506.6266666666666,222334.57843731073,10.933774834437086,999,1,3.31506849315068
yelena,3981,577,2022-06-05,2023-08-28,0.7359959809093193,0.0952022104998744,0.05978397387591058,0.10248681235870384,791.5549488054608,1983.8733509234828,305098.9944737503,6.89948006932409,1021,2,1.99178082191781
theoden,2280,306,2022-05-12,2022-11-07,0.7894736842105263,0.05789473684210526,0.10219298245614035,0.046052631578947366,884.6194444444444,2440.4166666666665,267515.43333333335,7.450980392156863,786,1,3.82465753424658
boromir,448,118,2022-09-10,2022-11-06,0.5803571428571429,0.06919642857142858,0.05803571428571429,0.2857142857142857,759.3846153846154,2102.064516129032,269087.48883928574,3.7966101694915255,1154,1,4.23013698630137
natasha,2819,543,2023-04-03,2024-08-25,0.7268534941468606,0.08017027314650585,0.09613338063142958,0.09329549485633203,846.5080527086384,2304.9690265486724,138695.9868747783,5.191528545119706,957,2,2.16438356164384
