name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
lady,448,50,2017-01-03,2017-01-14,0.4955357142857143,0.0625,0.08705357142857142,0.3482142857142857,1433.8423423423424,2576.0714285714284,180050.75223214287,8.96,1004,2,19.2054794520548
anubis,448,46,2016-10-25,2016-11-20,0.8883928571428571,0.0625,0.03125,0.017857142857142856,838.1884422110553,3061.3571428571427,151785.1763392857,9.73913043478261,960,1,3.05753424657534
cesar,448,40,2019-05-07,2019-05-15,0.46651785714285715,0.33482142857142855,0.06696428571428571,0.12276785714285714,2002.1052631578948,2365.806666666667,436098.83035714284,11.2,681,1,3.89315068493151
wotan,448,35,2016-10-25,2016-11-01,0.9732142857142857,0.013392857142857142,0.006696428571428571,0.006696428571428571,784.4449541284404,2048.3333333333335,160841.6763392857,12.8,1018,1,9.02191780821918
ficelle,448,72,2020-04-21,2020-05-06,0.8214285714285714,0.078125,0.033482142857142856,0.060267857142857144,893.1820652173913,2657.6,197308.43080357142,6.222222222222222,674,2,2.13150684931507
eric,448,41,2020-05-06,2020-05-09,0.8325892857142857,0.05803571428571429,0.044642857142857144,0.0625,786.4209115281501,3137.230769230769,172048.14955357142,10.926829268292684,692,1,3.03561643835616
olga,448,30,2017-12-23,2018-01-20,0.049107142857142856,0.013392857142857142,0.004464285714285714,0.9308035714285714,995.0,442.1666666666667,327836.03571428574,14.933333333333334,1023,2,16.3178082191781
yang,448,34,2016-10-25,2016-10-28,0.9151785714285714,0.04241071428571429,0.03571428571428571,0.004464285714285714,583.6512195121951,3152.0,164542.29464285713,13.176470588235293,1000,1,6.96986301369863
gandhi,448,61,2021-09-26,2021-10-12,0.8125,0.017857142857142856,0.10714285714285714,0.0625,912.9725274725274,2586.125,181998.4799107143,7.344262295081967,669,1,2.1041095890411
yannick,448,39,2016-10-25,2016-10-31,0.8928571428571429,0.06919642857142858,0.022321428571428572,0.015625,653.12,2855.4193548387098,168510.78348214287,11.487179487179487,1011,1,6.47397260273973
yin,448,49,2016-11-14,2017-06-11,0.828125,0.008928571428571428,0.12723214285714285,0.03571428571428571,1157.8194070080863,2240.0,150468.9107142857,9.142857142857142,1026,2,6.98904109589041
alaryc,448,32,2016-10-25,2016-11-02,0.9107142857142857,0.0625,0.020089285714285716,0.006696428571428571,846.6593137254902,2857.6071428571427,173408.40401785713,14.0,980,1,3.12876712328767
nenno,448,21,2016-10-25,2016-11-02,0.9174107142857143,0.07589285714285714,0.006696428571428571,0.0,774.5815085158151,3157.205882352941,227512.1763392857,21.333333333333332,996,1,4.18356164383562
nereis,448,62,2016-10-25,2016-11-14,0.734375,0.029017857142857144,0.015625,0.21875,646.2765957446809,1905.8461538461538,118065.14508928571,7.225806451612903,1047,2,17.4821917808219
gaia,448,40,2023-05-20,2023-05-28,0.6540178571428571,0.06473214285714286,0.026785714285714284,0.24107142857142858,814.9419795221843,1333.3793103448277,155903.35044642858,11.2,768,2,3.54794520547945
hercules,448,78,2022-06-10,2022-06-16,0.8258928571428571,0.04241071428571429,0.05133928571428571,0.078125,629.8081081081081,1914.157894736842,139406.70089285713,5.743589743589744,734,1,1.73150684931507
alvin,448,69,2016-10-26,2017-03-15,0.8816964285714286,0.015625,0.078125,0.024553571428571428,829.4101265822785,2733.8571428571427,103239.375,6.492753623188406,953,1,3.3041095890411
