name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
arwen,1418,161,2023-07-15,2023-09-02,0.6960507757404796,0.2856135401974612,0.010578279266572637,0.007757404795486601,1016.0445795339413,1156.7111111111112,208544.1544428773,8.807453416149068,1143,2,4.69315068493151
faramir,3273,154,2022-06-18,2022-07-19,0.5826458906202261,0.3672471738466239,0.007027192178429576,0.04307974335472044,1300.4121657052963,1275.0207986688852,589996.5304002444,21.253246753246753,1159,1,3.96986301369863
yvan,881,166,2022-06-05,2022-06-11,0.7298524404086265,0.25539160045402953,0.01021566401816118,0.004540295119182747,1023.8367029548989,1244.5466666666666,269647.6356413167,5.307228915662651,1074,1,1.64657534246575
eowyn,2015,120,2023-05-01,2023-05-16,0.6416873449131514,0.3245657568238213,0.009925558312655087,0.02382133995037221,1332.4423820572313,1317.7844036697247,522180.2109181142,16.791666666666668,1036,2,4.87945205479452
vladimir,1527,115,2022-06-30,2022-07-14,0.6529142108709889,0.3287491814014407,0.007203667321545514,0.011132940406024885,710.3871614844534,714.4043824701196,402578.7111984283,13.278260869565218,971,1,2.11506849315069
djocko,1131,75,2022-06-24,2022-06-28,0.7011494252873564,0.28470380194518125,0.010610079575596816,0.0035366931918656055,1537.0277427490541,1660.1055900621118,879830.5764809903,15.08,1091,1,3.03013698630137
anyanka,1802,171,2023-05-13,2023-06-03,0.58157602663707,0.3501664816870144,0.004994450610432853,0.06326304106548279,894.9541984732824,935.5515055467512,348042.58657047723,10.538011695906432,866,2,2.84931506849315
baal,948,98,2022-06-29,2022-07-09,0.6476793248945147,0.2468354430379747,0.0938818565400844,0.011603375527426161,1210.444625407166,1534.8931623931624,583182.3217299578,9.673469387755102,818,1,1.13698630136986
spliff,1144,102,2022-10-29,2022-11-03,0.652972027972028,0.3277972027972028,0.005244755244755245,0.013986013986013986,899.186077643909,887.376,321379.0987762238,11.215686274509803,984,1,3.31506849315068
yelena,1986,129,2022-06-10,2022-06-20,0.5281973816717019,0.4038267875125881,0.026183282980866064,0.04179254783484391,615.7778836987608,647.0586034912718,460317.76787512586,15.395348837209303,927,2,1.99178082191781
theoden,2000,196,2022-06-02,2022-08-20,0.651,0.3275,0.01,0.0115,1155.784946236559,1281.7541984732825,371449.667,10.204081632653061,768,1,3.82465753424658
natasha,2446,235,2023-04-29,2023-05-30,0.6312346688470973,0.3454619787408013,0.006132461161079314,0.017170891251022075,724.8082901554404,770.4130177514793,236403.27064595258,10.408510638297873,969,2,2.16438356164384
