name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
lady,607,66,2017-08-18,2017-08-31,0.471169686985173,0.4794069192751236,0.03789126853377265,0.011532125205930808,3140.7657342657344,3415.773195876289,921291.3047775947,9.196969696969697,855,2,19.2054794520548
cesar,607,51,2019-05-17,2019-05-26,0.45634266886326197,0.5370675453047776,0.006589785831960461,0.0,3106.8339350180504,3327.782208588957,898151.1927512356,11.901960784313726,701,1,3.89315068493151
ficelle,607,85,2020-05-09,2020-05-14,0.700164744645799,0.2833607907742998,0.014827018121911038,0.0016474464579901153,2063.1341176470587,2401.4593023255816,452626.5535420099,7.141176470588236,692,2,2.13150684931507
eric,607,68,2020-05-12,2020-05-14,0.4464579901153213,0.5189456342668863,0.011532125205930808,0.023064250411861616,2711.4132841328415,2860.2571428571428,220395.19934102142,8.926470588235293,647,1,3.03561643835616
olga,607,33,2018-11-09,2018-11-14,0.3904448105436573,0.5354200988467874,0.0032948929159802307,0.07084019769357495,693.8016877637131,594.3846153846154,387229.2899505766,18.393939393939394,1015,2,16.3178082191781
gandhi,607,128,2021-10-21,2021-11-18,0.6820428336079077,0.28665568369028005,0.011532125205930808,0.019769357495881382,2448.5676328502414,2971.890804597701,191661.71334431632,4.7421875,633,1,2.1041095890411
gaia,607,55,2023-06-04,2023-06-09,0.4514003294892916,0.42668863261943984,0.11202635914332784,0.009884678747940691,1632.1277372262773,1745.3552123552124,296180.3822075783,11.036363636363637,748,2,3.54794520547945
hercules,607,77,2022-06-17,2022-06-18,0.4184514003294893,0.5584843492586491,0.016474464579901153,0.006589785831960461,846.9763779527559,846.9233038348083,115803.39044481055,7.883116883116883,694,1,1.73150684931507
walt,607,62,2017-02-02,2017-02-04,0.40362438220757824,0.5304777594728172,0.0032948929159802307,0.06260296540362438,1268.4122448979592,1107.1024844720496,198005.92421746292,9.790322580645162,1011,1,8.73150684931507
havanna,607,65,2023-07-22,2023-07-28,0.6869851729818781,0.29489291598023065,0.0032948929159802307,0.014827018121911038,1492.5347721822543,1440.491620111732,378197.80724876444,9.338461538461539,829,2,3.21917808219178
iron,607,110,2023-10-13,2023-10-15,0.46293245469522243,0.471169686985173,0.008237232289950576,0.057660626029654036,1742.3451957295374,1710.6363636363637,66209.84019769357,5.5181818181818185,815,1,1.77534246575342
jipsy,607,54,2023-10-15,2023-10-17,0.6013179571663921,0.3756177924217463,0.018121911037891267,0.004942339373970346,3146.2383561643837,3352.2280701754385,224008.45799011533,11.24074074074074,788,1,1.73972602739726
lassa,607,50,2016-11-05,2016-11-07,0.3871499176276771,0.5469522240527183,0.042833607907743,0.023064250411861616,2313.4340425531914,2221.460843373494,356674.9373970346,12.14,937,2,5.36986301369863
abricot,607,44,2016-10-25,2016-11-04,0.3624382207578254,0.6177924217462932,0.011532125205930808,0.008237232289950576,1106.8181818181818,1197.2453333333333,279045.0230642504,13.795454545454545,985,1,3.15068493150685
patsy,607,21,2017-06-29,2017-07-06,0.4085667215815486,0.5749588138385503,0.0032948929159802307,0.013179571663920923,1560.3629032258063,1530.3323782234957,514509.00988467876,28.904761904761905,936,2,15.3095890410959
dory,607,181,2019-07-20,2019-08-03,0.6622734761120264,0.32948929159802304,0.0016474464579901153,0.006589785831960461,1598.771144278607,1784.485,226801.45799011533,3.3535911602209945,687,2,3.03013698630137
yoh,607,50,2016-10-25,2016-10-26,0.4958813838550247,0.471169686985173,0.029654036243822075,0.0032948929159802307,2053.518272425249,2102.909090909091,292067.78088962106,12.14,972,2,7.23287671232877
berenice,607,107,2020-06-03,2020-07-15,0.4876441515650741,0.46622734761120266,0.029654036243822075,0.016474464579901153,3361.760135135135,3542.441696113074,392406.60461285006,5.672897196261682,763,2,4.88219178082192
barnabe,607,53,2017-04-10,2017-04-14,0.5255354200988468,0.4415156507413509,0.0214168039538715,0.011532125205930808,2364.949843260188,2465.8694029850744,228724.9571663921,11.452830188679245,741,1,2.13698630136986
horus,607,182,2022-02-28,2022-03-17,0.7479406919275123,0.20593080724876442,0.02800658978583196,0.018121911037891267,2373.1079295154186,3386.328,221296.6935749588,3.3351648351648353,859,1,1.44657534246575
