name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
lady,1909,328,2017-08-18,2017-12-26,0.4400209533787323,0.48768988999476165,0.03981141959140912,0.03247773703509691,3523.9488095238094,3904.6208378088077,772345.2524882137,5.820121951219512,868,2,19.2054794520548
cesar,1439,299,2019-05-17,2019-06-23,0.6782487838776928,0.31758165392633775,0.004169562195969423,0.0,2355.84631147541,3177.4245076586435,616430.4593467686,4.812709030100335,744,1,3.89315068493151
ficelle,1041,204,2020-05-09,2020-05-27,0.781940441882805,0.20461095100864554,0.009606147934678195,0.0038424591738712775,1925.1953316953318,2369.7276995305165,415660.1575408261,5.102941176470588,689,2,2.13150684931507
eric,2591,255,2020-05-12,2020-05-23,0.6175221922037823,0.35391740640679276,0.011192589733693555,0.01736781165573138,2197.859375,2534.4056706652127,355532.0243149363,10.16078431372549,639,1,3.03561643835616
olga,27714,1832,2018-11-09,2020-04-21,0.4666955329436386,0.4704842317962041,0.0018402251569603811,0.06098001010319694,664.5240451523117,564.096479791395,994807.5156960381,15.12772925764192,1084,2,16.3178082191781
gandhi,1007,269,2021-10-21,2022-02-09,0.7209533267130089,0.2542204568023833,0.011916583912611719,0.012909632571996028,2267.957300275482,3010.9609375,205904.6156901688,3.7434944237918217,633,1,2.1041095890411
gaia,2519,421,2023-06-04,2023-08-09,0.6018261214767765,0.3207622072250893,0.06470821754664549,0.012703453751488685,1401.6879947229552,1698.069306930693,265295.9551409289,5.983372921615202,688,2,3.54794520547945
hercules,1567,248,2022-06-17,2022-06-27,0.5768985322271857,0.398851308232291,0.01723037651563497,0.007019783024888321,977.9988938053098,966.9616,209349.66113592853,6.318548387096774,664,1,1.73150684931507
walt,3096,307,2017-02-02,2017-02-14,0.5074289405684754,0.39760981912144705,0.0006459948320413437,0.09431524547803617,1210.274984086569,1185.6190089358245,268699.1553617571,10.084690553745927,1022,1,8.73150684931507
havanna,888,104,2023-07-22,2023-08-13,0.7398648648648649,0.24662162162162163,0.0033783783783783786,0.010135135135135136,1415.4353120243532,1442.0045662100456,405217.1047297297,8.538461538461538,815,2,3.21917808219178
iron,1387,306,2023-10-13,2023-10-19,0.5666906993511175,0.3850036049026676,0.006488824801730353,0.0418168709444845,1599.2862595419847,1688.0018726591761,94908.52559480895,4.532679738562091,797,1,1.77534246575342
jipsy,1245,198,2023-10-15,2023-10-23,0.7244979919678715,0.2570281124497992,0.011244979919678716,0.007228915662650603,2983.6541019955653,3379.921875,252775.60963855422,6.287878787878788,796,1,1.73972602739726
lassa,7999,906,2016-11-05,2017-02-25,0.5678209776222027,0.3914239279909989,0.026253281660207527,0.014501812726590823,2440.1391457507707,2528.5461513893324,489514.8359794974,8.828918322295806,856,2,5.36986301369863
abricot,3895,404,2016-10-25,2017-04-04,0.5057766367137355,0.46957637997432605,0.010526315789473684,0.014120667522464698,1277.9609137055838,1324.3296883542919,256908.21181001284,9.641089108910892,891,1,3.15068493150685
patsy,7032,500,2017-06-29,2018-09-08,0.5331342434584755,0.4391353811149033,0.01422070534698521,0.01350967007963595,1663.7127233929048,1812.75,592251.074374289,14.064,962,2,15.3095890410959
dory,1011,429,2019-07-20,2019-09-26,0.7418397626112759,0.24530168150346193,0.003956478733926805,0.008902077151335312,1644.1146666666666,1865.2782258064517,200769.4381800198,2.3566433566433567,709,2,3.03013698630137
yoh,1576,202,2016-10-25,2016-11-06,0.5875634517766497,0.38261421319796957,0.0266497461928934,0.0031725888324873096,1934.0464362850971,2094.6401326699834,290679.35152284265,7.801980198019802,975,2,7.23287671232877
berenice,1715,439,2020-06-03,2021-03-30,0.6128279883381924,0.3568513119533528,0.023323615160349854,0.006997084548104956,3203.6156041864892,3585.8349673202615,346944.70087463554,3.906605922551253,811,2,4.88219178082192
barnabe,1226,156,2017-04-10,2017-04-29,0.6753670473083198,0.29771615008156604,0.01468189233278956,0.012234910277324634,1844.5398550724638,2301.753424657534,263017.61419249594,7.858974358974359,714,1,2.13698630136986
horus,607,182,2022-02-28,2022-03-18,0.7479406919275123,0.20593080724876442,0.02800658978583196,0.018121911037891267,2373.1079295154186,3386.328,221296.6935749588,3.3351648351648353,857,1,1.44657534246575
