name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
lady,121,8,2018-02-12,2018-02-15,0.24793388429752067,0.48760330578512395,0.024793388429752067,0.2396694214876033,1626.3333333333333,4272.322033898305,189664.6611570248,15.125,868,2,19.2054794520548
anubis,121,49,2016-10-25,2016-11-21,0.859504132231405,0.1322314049586777,0.008264462809917356,0.0,1522.1634615384614,2815.5625,94812.61157024793,2.4693877551020407,959,1,3.05753424657534
cesar,121,23,2019-06-23,2019-06-24,0.7355371900826446,0.24793388429752067,0.01652892561983471,0.0,3084.067415730337,4744.966666666666,307606.0495867769,5.260869565217392,824,1,3.89315068493151
wotan,121,39,2016-10-25,2016-11-01,0.6694214876033058,0.30578512396694213,0.008264462809917356,0.01652892561983471,2011.3456790123457,2271.3783783783783,148857.19834710745,3.1025641025641026,1018,1,9.02191780821918
ficelle,121,39,2020-05-29,2020-06-03,0.71900826446281,0.21487603305785125,0.049586776859504134,0.01652892561983471,2176.885057471264,3022.6923076923076,194398.65289256198,3.1025641025641026,722,2,2.13150684931507
eric,121,20,2020-05-24,2020-05-25,0.5371900826446281,0.3884297520661157,0.049586776859504134,0.024793388429752067,2598.9538461538464,3283.8297872340427,301607.5041322314,6.05,617,1,3.03561643835616
olga,121,27,2022-09-09,2022-09-19,0.03305785123966942,0.11570247933884298,0.008264462809917356,0.8429752066115702,1245.5,1122.5714285714287,229499.90082644628,4.481481481481482,985,2,16.3178082191781
yang,121,30,2016-10-25,2016-10-29,0.743801652892562,0.256198347107438,0.0,0.0,1179.0222222222221,1603.0645161290322,179623.4958677686,4.033333333333333,1000,1,6.96986301369863
gandhi,121,18,2022-02-12,2022-02-16,0.6776859504132231,0.2975206611570248,0.01652892561983471,0.008264462809917356,2486.451219512195,3338.6666666666665,233398.65289256198,6.722222222222222,630,1,2.1041095890411
yannick,121,34,2016-10-25,2016-10-31,0.7520661157024794,0.21487603305785125,0.024793388429752067,0.008264462809917356,1224.2527472527472,2572.1153846153848,154578.76033057852,3.5588235294117645,1011,1,6.47397260273973
