name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
lady,2889,641,2018-02-12,2020-08-21,0.19280027691242643,0.43094496365524404,0.056074766355140186,0.32017999307718936,3881.996409335727,4992.502008032128,521210.63412945654,4.507020280811233,825,2,19.2054794520548
anubis,709,260,2016-10-25,2017-03-29,0.842031029619182,0.12834978843441466,0.011283497884344146,0.018335684062059238,1504.4773869346734,2530.3406593406594,123745.6868829337,2.726923076923077,880,1,3.05753424657534
cesar,4861,1189,2019-06-23,2019-12-18,0.8193787286566551,0.16457519029006376,0.012548858259617362,0.003497222793663855,2032.1152397690182,3192.99625,286875.6023451965,4.088309503784693,684,1,3.89315068493151
wotan,1897,888,2016-10-25,2017-03-26,0.6974169741697417,0.28624143384290984,0.010015814443858724,0.0063257775434897206,1932.8442932728647,2281.6777163904235,88520.56510279389,2.1362612612612613,1094,1,9.02191780821918
ficelle,788,386,2020-05-29,2020-08-24,0.8083756345177665,0.1446700507614213,0.031725888324873094,0.015228426395939087,2411.708006279435,3391.3508771929824,156771.8769035533,2.0414507772020727,688,2,2.13150684931507
eric,1186,464,2020-05-24,2020-08-24,0.6239460370994941,0.31197301854974707,0.03709949409780776,0.026981450252951095,2812.9148648648647,3936.145945945946,256295.50252951097,2.5560344827586206,586,1,3.03561643835616
olga,1001,231,2022-09-09,2022-12-05,0.029970029970029972,0.07092907092907093,0.00999000999000999,0.8891108891108891,1499.9,1720.6478873239437,202475.63736263735,4.333333333333333,981,2,16.3178082191781
yang,1493,451,2016-10-25,2017-03-27,0.6912257200267917,0.30274614869390487,0.004018754186202277,0.0020093770931011385,1343.1763565891472,1848.6725663716813,144644.45344943067,3.3104212860310422,1144,1,6.96986301369863
gandhi,1120,448,2022-02-12,2022-05-26,0.6946428571428571,0.26607142857142857,0.023214285714285715,0.01607142857142857,2158.8007712082263,3227.526845637584,135963.01339285713,2.5,650,1,2.1041095890411
yannick,3014,941,2016-10-25,2017-03-30,0.7866622428666225,0.17584605175846052,0.015925680159256803,0.021566025215660253,1332.8110501897934,1900.579245283019,139418.99568679495,3.2029755579171093,1188,1,6.47397260273973
yin,2621,617,2016-10-25,2019-06-23,0.8565433040824113,0.12170927127050744,0.013353681800839375,0.008393742846241892,2158.7630289532294,2817.9028213166143,270634.0694391454,4.247974068071313,1096,2,6.98904109589041
alaryc,1452,478,2016-10-25,2017-03-30,0.8939393939393939,0.08471074380165289,0.008953168044077135,0.012396694214876033,1450.0901386748844,2263.276422764228,112014.70041322314,3.0376569037656904,814,1,3.12876712328767
nenno,1178,387,2016-10-25,2017-01-19,0.7427843803056027,0.23853989813242785,0.008488964346349746,0.010186757215619695,1582.961142857143,2486.626334519573,136106.90577249575,3.043927648578811,1009,1,4.18356164383562
nereis,6150,1399,2016-11-25,2019-06-23,0.42048780487804877,0.3357723577235772,0.0024390243902439024,0.24130081300813008,1675.105955143078,1590.875544794189,218599.3331707317,4.395997140814868,1220,2,17.4821917808219
gaia,915,344,2023-08-11,2023-10-19,0.5726775956284152,0.34972677595628415,0.06120218579234973,0.01639344262295082,1982.0820610687024,2722.690625,142611.8524590164,2.6598837209302326,722,2,3.54794520547945
hercules,559,170,2022-06-28,2022-07-05,0.592128801431127,0.33810375670840787,0.0626118067978533,0.007155635062611807,1839.5649546827794,2311.3121693121693,265950.37209302327,3.288235294117647,698,1,1.73150684931507
