id,session,progression,is_remotivation,is_started,instant_begin,instant_end,result,idcheck,task,sessionid,level,battery,attempt_duration,session_duration,task_duration,reaction_time,species,name,Date,elo_score,age,gender,success,error,premature,stepomission
1223456,61247,4925,0,1,2016-10-25 06:01:13.466,2016-10-25 06:01:19.580,success,4925,100,31,46,4,6114,311532,3511.0,1728.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,1,0,0,0
1223471,61247,4929,0,1,2016-10-25 06:01:52.497,2016-10-25 06:01:57.310,success,4929,100,31,46,4,4813,311532,2460.0,720.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,1,0,0,0
1223489,61247,4934,0,1,2016-10-25 06:02:40.090,2016-10-25 06:02:44.842,success,4934,100,31,46,4,4752,311532,2449.0,678.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,1,0,0,0
1223501,61247,4937,0,1,2016-10-25 06:03:09.084,2016-10-25 06:03:14.302,success,4937,100,31,46,4,5218,311532,2368.0,630.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,1,0,0,0
1223504,61247,4938,0,1,2016-10-25 06:03:14.333,2016-10-25 06:03:19.332,success,4938,100,31,46,4,4999,311532,2529.0,718.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,1,0,0,0
1223528,61247,4944,0,1,2016-10-25 06:04:27.482,2016-10-25 06:04:32.745,error,4944,100,31,46,4,5263,311532,4822.0,3061.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,0,1,0,0
1223531,61252,4925,0,1,2016-10-25 06:04:38.194,2016-10-25 06:04:43.248,success,4925,100,31,46,4,5054,5054,2559.0,747.0,tonkean,olaf,2016-10-25,994.0,4.13424657534247,1,1,0,0,0
1223553,61247,4950,0,1,2016-10-25 06:05:36.370,2016-10-25 06:05:41.555,success,4950,100,31,46,4,5185,311532,2551.0,819.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,1,0,0,0
1223556,61255,4929,0,1,2016-10-25 06:05:43.759,2016-10-25 06:05:49.021,success,4929,100,31,46,4,5262,5262,2780.0,788.0,tonkean,olaf,2016-10-25,994.0,4.13424657534247,1,1,0,0,0
1223560,61247,4952,0,1,2016-10-25 06:05:58.168,2016-10-25 06:06:03.700,success,4952,100,31,46,4,5532,311532,2891.0,1109.0,tonkean,yannick,2016-10-25,1006.0,6.47397260273973,1,1,0,0,0
